Time(ms), Hdg, Alt, Temp, optflow_intTime,optflow_intX,optflow_intY,optflow_intXgyro,optflow_intYgyro,optflow_intZgyro,optflow_quality,optflow_timeDel,optflow_dist,imu_orientX,imu_orientY,imu_orientZ,imu_orientW,imu_angularX,imu_angularY,imu_angularZimu_linAccelX,imu_linAccelY,imu_linAccelZ
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-903917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-897982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-891699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-885641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-880648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-874805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-864338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-857080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-850468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-846529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-844091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-841098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-837819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-834610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-831986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-823772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-820469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-815830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-812429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-808876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-805120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-800974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-797975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-795265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-792836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-790137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-787821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-785608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-783370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-781083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-778718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-776422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-774118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-768106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-764285,0,0,41.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-761611,0,0,41.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-758814,120.64,0,41.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-756023,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-752794,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-750667,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-748550,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-746369,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-744171,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-741586,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-739006,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-736452,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-734142,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-731719,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-728384,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-725799,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-723601,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-719517,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-716530,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-714010,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
-710819,120.64,0.11,41.44,0,0,0,0,0,0,0,0,0,0.00531905,-0.00455524,0.264235,-0.964433,0.000627008,0.00271057,-0.00241748,0.137293,0.0196133,9.64974
