flowX,flowY,FPS,time
-140,3,0,2.58132
-86,-23,0.416211,2.67229
-63,-33,14.1765,2.77416
-9,2,13.9929,3.11736
-2,0,3.20387,3.34378
-1,-1,4.98487,3.62005
-43,-4,4.13659,3.85073
-16,-2,4.9941,4.13972
-46,0,4.01329,4.38577
-2,3,4.67214,4.64291
-14,0,4.50179,4.92349
-20,-6,4.02744,5.20559
-6,2,3.89212,5.43142
-32,2,5.14438,5.74941
1,-1,3.52277,5.9759
-40,0,5.03248,6.24682
-36,2,4.37545,6.51353
0,7,4.23881,6.76294
-7,0,4.59837,7.03974
2,-1,4.08472,7.3161
-28,-7,4.08831,7.55533
-21,-5,4.6904,7.82579
-4,3,4.16687,8.09742
-16,-3,4.28656,8.35148
2,3,4.40017,8.62433
0,1,4.07131,8.89649
-9,-1,4.24717,9.13493
-142,135,4.87968,9.474
-181,-98,3.12882,9.68549
-9,1,5.26493,9.96882
0,-5,3.86603,10.2127
-6,-13,4.74001,10.4878
1,-5,4.11021,10.7397
-10,-5,4.56699,11.0279
-2,5,3.8906,11.2653
-9,0,4.86263,11.547
-14,6,3.96372,11.8053
-4,-31,4.42711,12.0646
-8,0,4.43288,12.3048
-17,-70,4.88461,12.605
34,-26,3.66924,12.921
-87,-32,3.48361,13.1522
-2,-19,5.00522,13.3862
7,-1,4.99596,13.6753
-25,-64,3.91739,13.9131
-43,-46,4.84883,14.2065
-84,-61,3.85525,14.4445
-162,-136,4.85505,14.7218
-15,-4,4.09683,14.9984
-91,-10,4.05552,15.2258
-13,2,5.30253,15.5007
-41,-5,4.2189,15.7763
-13,-2,4.10384,16.0255
-1,-3,4.27705,16.2852
-23,2,4.39071,16.5862
-21,-3,3.68425,16.8145
-7,-1,5.10323,17.0907
0,-1,4.08171,17.3341
-6,0,4.73367,17.6029
-6,-3,4.21426,17.9096
